Lingua;Type;Country;Gender;Age;Education;Education_2;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14
Ita;Technician ;Italy;F;21-30;Laurea magistrale   ;laurea in valorizzazione e tutela dell'ambiente e del territorio montano  laurea magistrale in scienze agrarie  TECNICO SATA;Sufficient space, clean water in sufficient quantity, balanced ration, healthy environment and good air circulation in the barn;He stops in a wary position and straightens his ears to check what happens;"is always at attention, so under stress: eat leftovers in the manger, bad rummine, rarely moves from the position considered ""defense""";behaves differently depending on who is interacting with her;"she is curious, tries to ""get acquainted"" with the stranger";not being a goat I can not know;not being a goat I can not know;not being a goat I can not know;not being a goat I can not know;nervous animals or not animals standing or sitting air quality ambient temperature;feeders full or empty conditions of the animal drinking troughs that ruminate or not stool status;position of the ears vitality of the animals state of the hair stool status;peaceful animals that ruminate;animals that come out, animals isolated
Ita;Technician ;Italy;F;51-60;Laurea magistrale   ;laurea in scienze agrarie tecnico SATA;adequate nutrition and environment;be alert;if he is well he would like to return to the group;is approaching;if he normally does not have fear he approaches, otherwise he goes away;fear;it gets depressed;safety;curiosity or fear;litter space for garments and places in the manger;BCS based on the stage of lactation-production;hair, BCS, feces;curious and lively;crouch and lazy
Ita;Veterinary ;Italy;M;41-50;Formazione post universitaria (master, scuola di specializzazione o dottorato ) ;scuola di specialità in igiene e tecnolgia del latte e derivati;Environmental comfort and lack of stress. Excellent nutrition. High level of management and business management by the breeder.;state of fear and flight;Fear, search for companions, vocalizations, anxiety.;tranquility, curiosity and for some subjects research of olfactory contact;initial fear to follow, unless hostile behaviors from unknown people or animals persist, curiosity or indifference.;state of alarm and escape / defense mechanism.;anxiety and fear;tranquility and curiosity;initial state of alert followed by curiosity;environmental hygiene respect of space for animal space for feeding (forehead manger / number of animals) local ventilation local light local height number and distribution points watered;spaces to feed type of food manhgiatoie number of daily administrations and amount administered;general state of the herd bcs symptoms referable to pathologies number of animals presenting symptoms with respect to the total state of the breasts the milk production (quntity and quality);the general tranquility of the flock the lying animals that ruminate the possibility of eating and drinking and to move without problems the non-committing challenges between heads of the flock;the isolation of one or more leaders the fear to approach the animal feeders never lying down
Ita;Farmer ;Italy;F;31-40;Laurea di primo livello  ;laurea triennale in tecnologie delle produzioni animali e qualità dei prodotti;the diet must be balanced to its needs, possibly modifying it according to its physiological state. the litter must always be cleaned and changed at least once a month. the space available to each goat must not be limited, the animal must be able to move freely;moves away from the source of the noise because scared;she is confused and looks for her friends complaining;try to get close to them by sniffing them and looking for a contact;He evaluates the stranger more carefully and approaches slowly to get to know him better;scare, fear;fear, sadness;sympathy, joy, desire to cuddle;curiosity, attention;cleaning of the hair conditions of the paws / nails;shiny coat or shaggy thinness or fatness;presence of abscesses straight ears shiny hair bright eyes rumination present or absent;peaceful animals that rest docility;excessive nervousness
Ita;Farmer ;Italy;F;41-50;Scuola secondaria: Liceo;;Sufficient power and quality. Sufficient space. Cleaned bed. Sufficient air and light. Constant milking;He gets scared raising his head and preparing to escape;bleats and try to reach the other goats;He approaches and is curious;Approach with caution or remain indifferent if they are not threatening;He is afraid and wants to escape;He is afraid and looks for the group that gives her security;She is quiet, she trusts and has the expectation of receiving something to eat;Try mistrust but if you do not feel threatened, do not be afraid;A little crowded;Good;excellent;Always;Rare
Ita;Veterinary ;Italy;M;31-40;Laurea magistrale   ;"medicina veterinaria, ""TECNICO SATA""";Environment as close as possible to the species's ethology, correct food and health management, absence of stress;Alert, ceases to perform the behavior he had in place, directs his gaze to the source of the noise;Inaquietudine, suspicious;Intrigued approaching, try to put in the mouth all that is new;Observes, however intrigued approaches (especially with people) with modest circumspection;Observe the source of the noise, stop the current action;Apparent tranquility, more attentive to changes in the environment;Tranquility, curiosity, indifference;Curiosity, exploration carefully;Surface available, hygiene, coverage of environments, absence of drafts, absence of flies;Available surface, frequency of administration of the ration, correctness of the ration, quality of forage and feed, presence of clean and fresh water;Absence of signs / symptoms of pathologies, appearance of the mantle, hygiene of litter and surfaces, absence of drafts;"Assumption of ration, rumination, curiosity and exploration of the environment, simulation of ""hierarchical"" confrontations, animals lying to ruminate";Lack of exploration of the environment, animals scattered or huddled in the corners of the stable, failure to take the ration, lack of animals lying down to ruminate
Ita;Technician ;Italy;M;51-60;Laurea magistrale   ;Laurea in Scienze Agrarie  Tecnico SATA;Adequate spaces and escape routes (external paddock resting niches to contain the competitive phenomena in the flock) Microclimate of the appropriate stable, dry litter and proper feeding Calm behavior of the workers to create a routine in the various breeding operations.;It assumes an attitude of attention. Current procedure of technical examination in the breeding is to evaluate the risotto of the flock to the beating of the hands. Attitude attitude of apathetic problem signal.;I do not know.;An attitude of tranquility indicates that the breeding system and the breeder's attitude is correct.;This type of observation is basic. If the flock in the presence of strangers regroups and runs, it is a sign of strong stress. In good situations, small groups of heads are formed that come close and seek contact. The goat is extremely curious.;I can perhaps evaluate the reaction of a goat to a stimulus, I can not evaluate his perception, I should be a goat.;I should be a goat;I should be a goat;I should be a goat;Surfaces and volumes available. Status and color of the bedding. Smell of ammonia. Dustiness of the air. Air currents on the litter and temperature. No. of watering points and water conditions.;Length of the feeding trough suitable for the n ° of the garments. Quality of the fodder sight odor tact (absence of dust, mold and unpleasant odors). Number of meals and distribution methods. Hay leftover in the feed trough indicates full satisfaction of forage ingestion. Amount of concentrates in relation to the amount of hay administered. Assessment of the body state (BCS) Evaluation of the consistency of the stool, hair and reactivity of the animals. Amount of concentrates administered by the day and quantity of milk produced. If possible evaluate the% fat and protein data and the amount of urea in bulk milk.;Stool consistency. Appearance of the hair. Body status (BCS). Body attitude. Behavioral attitude. Rumination;"Feces to ""bagole"". Shiny and not ruffled hair. BCS corrected according to productivity and physiological stage. Relaxed body and not contracted, erect or semi-erect ears. Moving and non-isolated, reactive to noise. Correct rumination times.";Soft stools. Matt and ruffled hair. Lean Heads (lower BCS 2). Contracted body, pendulous ears, isolated heads, breath with fermentation smell.
Ita;Technician ;Italy;M;31-40;Formazione post universitaria (master, scuola di specializzazione o dottorato ) ;laurea in scienze e tecnologie agrarie master in agricoltura biologica tecnico SATA;suitable environmental conditions (availability of space, litter and clean air, accessibility to feeding areas, watering, rest). adequate nutrition (quantity and quality) in the physiological state.;alert reaction, escape to protected area, but curious expression;look for escape to rejoin the flock. bleats;he remains quiet in the flock. look at the person / animal (eg shepherd dog) but does not have any escape reactions but is approaching.;look at the unknown person / animal while remaining at a safe distance, then approaching but always on alert.;he gets scared, he feels a state of possible percolation and tries to get away looking for a protected and sheltered area. then expresses an attitude of curiosity;challenging attitude to avoid being caught and reunited with the group. if hunted, he is terrified;she is quiet and sociable (if known people and animals do not represent a danger to her);it is initially fearful, in a state of alert, but curious and progressively takes confidence and approaches the stranger;state of the litter (quantity and quality of the straw / litter) availability of space (sqm / head) brightness, temperature, humidity, air exchange (possible drafts or ammonia stagnation) accessibility to areas of rest, feeding, watering. presence of possible dangers (fences, cribs or containment structures with sheets, protruding irons ...) On animals: cleaning of the same, presence of wounds, zoppies, abrasions, aggression towards the other animals of the flock, number of animals sitting / lying down , expression (serene / scared / resigned);"accessibility to the manger: easy access, height from the ground, cm of front of manger available for head; cleaning the manger. availability of fodder present in the manger at various times of the day. Availability of salt rooms. On animals: body status (fattening in relation to the physiological stage), number of animals that are eating and those that are ruminating";observe the respiratory rate, the nasal drains, the presence of lameness or other anomalies. presence of cough and rattle even after having moved / run the animals. any signs of diarrhea in progress or just passed. presence of scratching animals, presence of wounded areas, abscesses.;peaceful animals among them in the flock and towards external presences of animals and / or people. animals that look curious while approaching;"animals terrorized by foreign presences, trembling and fearful bleating; nervous and aggressive animals towards other goats. animals that lick the walls and / or excessively gnaw wooden structures"
Ita;Farmer ;Italy;M;51-60;Scuola primaria  ;;who live in a healthy and hygienically clean environment (well-stuffed bedding every day) and have the possibility of outdoor spaces to graze in spring, summer and autumn all day long.;he stops and remains alert and gives some kind of sneezing signals to alert the others in the group;escape;he behaves calmly and continues to do things according to his habits;our goats that are used to the presence of strangers (visitors, school children, etc.) behave with curiosity and continue in their habits;he perceives an alert situation;he perceives fear;perceives a situation of tranquility and security;if she is used to this situation, she remains in a situation of tranquility and curiosity;I would look at the space in which they move and if it is well stuffed;if they have a sufficient manger front and a few more places and the distance between one autocattura and another;luster of the hair the nails if there are allopece pimples on the udder abscesses if they have lesions on the head;if they eat quietly and sit quietly while they ruminate if they show curiosity;if they are always on alert if they are afraid
Ita;Farmer ;Italy;F;31-40;Scuola secondaria: Liceo;;good nutrition, pasture;gets scared and snaps;bleats calls the group;it's tanquilla;stand at attention;fright;he feels weak;tranquility;caution;ventilation space;hair body condition milk pregnancies;hair body state liveliness;vivacity;dejection
Ita;Farmer ;Italy;F;51-60;Scuola secondaria: Liceo;;good habitation habitation comfortable possibility to be outdoors;escape;bleats;is approaching;first he moves away, but then curious, approaches;he feels insecure and agitates;he does not feel at ease because he looks for his companions;he feels at home;he is not at ease, he is afraid that he will be harmed;.;.;.;.;xxx
Ita;Technician ;Italy;M;41-50;Laurea magistrale   ;Laureato in Scienze della Produzione Animale;favorable environmental conditions, such as sufficient sweeping, adequate foraging and drinking water;alert and attentive, before getting on the safe side;he tends to pretend his shoulders and face the danger in front of him;they come together in a group;she is always suspicious and avoids strangers;remains still and observes;try to keep safe in order to have danger in front of you;joins the group and tries to defend itself on several fronts;he is always alert and tends to be suspicious about everything;adequate space where it can ambulate and feed;adequate sweep on the feeding front so that all the animals can access the fodder;good physical state with adequate BCS in various physiological periods;peaceful animals and in excellent condition;animals that are easily frightened, always vigilant and almost terrified
Ita;Veterinary ;Italy;M;31-40;Laurea magistrale   ;veterinaria;food and fresh water always available, adequate space, parasitic prophylaxis;runs away in the opposite direction to the origin of the noise;vocalizes;he approaches curious, interacts;it is wary, but then curiosity wins;he's afraid;try melancholy because it is a social animal;interacts;It is wary, curious;cleaning of the hair, presence of lesions on the neck or chest;state of the hair, body condition;shine of the hair, ambulation, attitude of the head and of the back line;drink, eat, urine, defecate;walking, tic
Ita;Veterinary ;Italy;M;51-60;Laurea magistrale   ;Medicina Veterinaria  Tecnico SATA;Proper diet, no overcrowding, clean and abundant litter, correct administration of food and water without contamination of the same,;he gets scared and goes away and then stops and observes;bo;he approaches intrigued; he approaches intrigued;stress;bo;pleasure;caution;nail length, abnormal gait, the percentage of goats lying in the rest period;BCS, if the feed lane is empty or if they have hay available, if there is no competition;the appearance of the hair, the BCS, joint swelling, presence of abscesses and if you feel coughing while resting;if at a beating of hands they go away and then approach again shortly and if they get close to curiosity and they are touched without reacting;if at my entrance they go away and I find it difficult to get in touch
Ita;Farmer ;Italy;M;31-40;Scuola secondaria: Istituto agrario;;Having a food ration that varies according to seasonal needs, adequate space, always a space with dry straw and the possibility of having an outdoor padok.;He takes a shot ..;bleats, is spelled out ..;it's quiet ..;he is usually not at ease.;fright, can get hurt.;fright, can get hurt;is fine.;is wary, but in my case that I'm used because I have a farm, if there is even the radio on is curious.;they could be better, this is a bit 'for all, it would take more space.;they are good, our SATA technicians follow us well.;good;it is important that the goats are used to human presence;no there should be abnormal behavior.
Ita;Farmer ;Italy;F;21-30;Scuola secondaria: Liceo;;Good food management, clean rooms, adequate facilities and a good relationship with the breeder;It directs its attention to the source of noise, especially by moving the ears;Initially it is stirred, but then fits;he is sociable and curious;Initially it is more hesitant, then seeks contact;fright;Solitude;Positive feelings and interest;Initial fear followed by curiosity;Suitable facilities, cleaning, drinking troughs and feeders available for all garments, presence of diseases and injuries;Availability of food and water, quality of food, administration of an adequate ration for each production phase;Presence or absence of limb injuries, presence of respiratory diseases, good ruminal function, presence of mastitis, see if the animal is vital;active animals, eating, rumen;animal apathetic, isolated, excessive aggression, excessive licking of structures
Ita;Farmer ;Italy;F;31-40;Scuola secondaria: Liceo;;space, food, water, good fodder, good litter, some sun and ....;"if he is calm in his environment he can do nothing and not be afraid. Otherwise ""sneezes"", snaps and goes, triggering the whole group. Or careful, he puts himself on alert";He looks around confused and cries.;the goat is curious and will immediately try to get closer. if the confidence is so much, does not stop being on, nibbling, making small spite ... all to be pampered ...;if the other is quiet, he will try an approach, after carefully observing.;fright, loss of control of what surrounds it with consequent fear.;desolation, despair, fear, lack of security.;if there is a good relationship: the goat is happy, has a desire for contact, to be pampered and touched, looked at and if you make it feel special, you can clearly see that you understand.;extreme and insistent curiosity, if the situation is calm, desire to socialize.;clean / dirty fur udder clean / dirty clean / dirty legs;panciolino nice round space between back and tail;nasal discharge coughing paws;proximity to human proximity animal food distribution: tranquility, serenity of movements and gaze;too susceptible snapping always escape the human proximity are intimidated and not too curious too firm and lying or standing in a corner
Ita;Veterinary ;Italy;M;51-60;Laurea magistrale   ;medicina veterinaria;well-being and state of nutrition;escape;tries to isolate itself in known environments;it grazes naturally;he assumes a suspicious attitude;curiosity;disorientation, and search for its habitat;serenity;an attitude of unease and a propensity for a sudden departure;admissions, milking and housing environment;cleaning the manger and food quality;nutrition status, fur conditions, feet (zoppie) and breasts;great organic functions;sense of listlessness
Ita;Farmer ;Italy;M;51-60;Scuola secondaria: Istituto agrario;;The goat must live in a healthy environment, have adequate space and be nourished very well.;he raises his head and runs scared as far as possible from the source of the noise;bleats insistently looking for passages to reach the rest of the flock;approaching begins to nibble, sniff and leaning on the person.;initially he moves away but then won by curiosity approaches slowly.;he gets scared believing he is in danger;she feels lonely and helpless;he feels safe and protected;she is wary and curious, she wants to know if for her the intruder is a danger or something.;I would look at the conditions of the litter and the concentration of the animals;what the manger contains and the physical state of the animals. If they are fat or thin or fair.;first of all I would look at the hair that must be shiny and not bristly or wrinkled, then the vitality.;if the animals are still, the percentage of animals carrying out a specific activity at a given time (ruminating or resting or feeding);insistent bleating with the consequent request of something, agitation in the flock, fear.
Por;Technician ;Brazil;F;41-50;Curso de pós-graduação (especialização, mestrado, doutoramento);Engenheira agrônoma, com mestrado em genética e melhoramento animal e doutorado em produção animal;drinking water at will, foods that meet their nutritional needs, choice of food, diet composed of broad leaves, adequate space in the premises, possibility of expressing their natural behavior, protected from predators and treated with respect and affection.;pode se assustar, mas se estressa menos que as ovelhas;may be frightened, but it stresses less than the sheep;interacts with them, perhaps with the exception of dogs;moves away and seeks the group;stay on alert;feels vulnerable, vocalizes and seeks to locate others, but feeds;feels comfortable;feels vulnerable;sizing by animal, area and trough space, plant and roof material, thermal comfort of the facility, type of fence and shade in the pasture, possibility of expressing its natural behavior;"have the opportunity to select food, if you have access to pasture, there are foods to be consumed ""head high"" or even in a bipedal position, have quality water and will";being alert, in good general condition, of hair and mucous membranes, feeding and ruminating normally and moving;without vocalizations, walking a lot in grazing and quiet inside coats;vocalizations, repetitive movements, staying away from the group, inappetence
Por;Veterinary ;Portugal;M;51-60;Curso de pós-graduação (especialização, mestrado, doutoramento);DOUTORAMENTO;Good food, quality food, water, space, hygiene, adequate ventilation;pode não ficar afectada;may not be affected;behavior does not change;the behavior may not change;curiosity;may show some discomfort;behavior does not change;behavior may not change.;space, hygiene, ventilation;thinness;limbs, thinness, drooping ears;vivacity;lack of liveliness
Por;Veterinary ;Portugal;M;41-50;Ensino superior;;Proper husbandry and sanitation, which means areas of grazing, facilities, food, prophylactic interventions and adequate medical treatments, as well as informed operators.;Assusta-se e foge.;It frightens and flees.;It is quiet (if it is usually well treated).;You're curious.;Fear.;Uneasiness.;Tranquility (if usually well treated).;Curiosity.;Implantation, coverage, protection of the prevailing winds and rains, aeration, beds, space for animals and the adequacy of the various equipment (troughs, drinking fountains, gates, etc).;Body condition according to the productive state, general condition of the animals, presence of appropriate food.;General condition of the animals, body condition and presence of diseased animals.;Animals with normal attitudes to the species.;Animals with aberrant attitudes towards the species.
Por;Farmer ;Portugal;M;51-60;Curso de pós-graduação (especialização, mestrado, doutoramento);Doutoramento em Engenharia Agronómica;Good health, adequate food, good environmental conditions (climate, accommodation, etc) quality water, adequate management, space to move in search of food;Berra e fica atenta. Na ordenha pode reter o leite;Berra and stay tuned. At milking you can retain milk;Remain calm, can interact with human presence (smell, nibble, etc.);If you feel threatened, you become suspicious, shout,;Scares;feels insecure;Trust;He distrusts and frightens himself;Animal loading, bed cleaning, protection of equipment and external and internal fences, protection against atmospheric agents (mainly wind);Adequate size of the manger to the cash, suitability to the diet, hygiene, possibility of cleaning, conditions of the floor next to the feeding area;General condition of the herd (appearance of hair, uniformity in the state of the animals, etc.), presence of animals with signs of disease, animals that do not eat, records of prophylaxis followed and treatments.;Liveliness of animals, docility, curiosity;Escape, agitation, sound manifestations
Por;Farmer ;Portugal;M;51-60;Ensino secundário;;They need a good bed, clean water, adequate food and tranquility.;assusta-se;scares;Quiet;nervous;fear;anguish;safe;panic;hygiene;good quality;good looking;tranquility;normal
