Lingua;Type;Country;Gender;Age;Education;Education_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14
Eng;Technician;United Kingdom;F;31-40;specialization course (master, PhD degree) ;Msc Zoology (with interest in Animal behviour);A horse needs to be kept in a suitable environment for it's purpose, be looked after by an experienced person who can effectively manage it's needs. Have sufficent access to food, water, social company, shelter etc.;pricks ear, turns head and/or body to face direction of noise.;may be affected or not.....;may be relaxed, affetionate, feel comfortable and at ease;with have heightened responses, may react on instinct.;stimulated, either with fear or intrigue;may feel anxious, stressed or nervous, or may be quite unaffected....;comfortable, at ease, relaxed;unsure, nervous;stabling, security of housing, safetly, light conditions, cleanliness, space allowances, ability to view/touch other horses,;cleanliness, quality, feed sources;body condition, skin condition, eye brightness, lameness, general welbeing ;how relaxed the horse is, how it communicates, if it is comfortable in its surroundings;presence of stereotypies, agression, discomfort
Eng;Owner;Australia;F;31-40;university degree ;Bachelor of Arts;A balanced, forage-based diet, space to roam, other horses to socialise with, access to clean water, mental stimulation.;Evaluates whether the noise heralds a potential threat, reacts accordingly. Head will turn for visual confirmation, ears prick, nostrils flare for olfactory input. Startle or shy response may occur.;"Different from horse to horse, but most I know fret; they will pace the fenceline, become more easily startled overall, remain on 'alert' without the comfort of a herd. Some shut down when deprived of the stimulus of a group. In all cases, the reactions are negative.";Becomes relaxed and attentive, 'reading' for interaction.;Assesses and remains vigilant or curious. Levels of this depend on the individual horse and surroundings.;May feel startled (presuming noise is unexpected) and wary of threat.;Might feel anxious and vulnerable, as well as lonely.;Might feel relaxed and comfortable, as if in the presence of herd members.;May feel potentially threatened or vulnerable.;Acreage/space horses have access to, quality/safety of fencing, proximity to other horses, available shelter, type of land (hilly, rolling, flat) and type of surface (rocky, boggy, grassy).;Quality of pasture (ie harmful weeds, high-sugar plants, quantity and type of grass), access to hay.;Horses' weight, condition of coat, condition of hooves, any visible injuries or signs of illness.;Are horses in a group, grazing,playing or resting? Do they allogroom? How are herd relationships evidenced? How do younger horses interact with older ones?;Stable vices such as cribbing, listlessness, aggression due to resource contest, excessive tension between herd members, nervousness.
Eng;Breaker;Italy;F;51-60;specialization course (master, PhD degree) ;semiotics phd;horseman/woman as owner- not dilettante. ie one who understands feed/exercise regime, shelter, company etc;puts himself on alert;MAY be distressed- depends on age/experience; is habituated- usually ok;depends- may be on alert;heightened attention;as above;at ease;may be on alert;size, protrusions on surfaces, accumulation of waste, depth and condition of bedding;cover, coat condition, colour lips, eyes;as above + respiration, hooves and behaviour;calm + interested;agitated or disinterested
Eng;Owner;Australia;F;> 60;university degree ;Bachelor of Arts (Politics);Diet based in ad lib forage, company of his own kind, more than 12 hours a day at liberty, lack of conflict when handled.;Turn ears and eyes towards the noise and, if loud or scarey enough, will run to put an adequate distance between himself and the noise source.;may call repetively and run the fence line seeking his group, if he has separation anxiety.  If not, he will calmly follow his handler.;will allow itself to be handled, often without restraint, and will sometimes call out when seeing a special human enter the field.; will keep their distance from the strange animal or human and will be ready to flee in an instant.;alert, anxious, sometimes curious (rustle of a lolly wrapper, for instance.;alert, anxious, vulnerable.;calm, accepting, curious;alert, potentially anxious;adequate supply of fresh water, adequate grazing or provision of food, shelter from sun, wind and rain, safe fencing, no equipment left on the horse which is causing pain or stress (headcollars, rugs);provision of adequate fresh water, provision of food of sufficient quantity and quality to keep horses at a body score between 2.5 and 3.5 ;body score between 2.5 and 3.5 no lameness no nasal discharge no wounds horses moving normally with normal head carriage  ;grazing/eating, drinking, if at pasture, moving continuously, head carriage appropriate to the circumstances (down for grazing, up for looking around);lying down, lame, low head carriage, not eating or drinking, laminitic stance, looking at flank/rolling/getting up and down continuously
Eng;Owner;Australia;F;> 60;university degree ;Bachelor of Arts (Politics);Diet based in ad lib forage, company of his own kind, more than 12 hours a day at liberty, lack of conflict when handled.;Turn ears and eyes towards the noise and, if loud or scarey enough, will run to put an adequate distance between himself and the noise source.;may call repetively and run the fence line seeking his group, if he has separation anxiety.  If not, he will calmly follow his handler.;will allow itself to be handled, often without restraint, and will sometimes call out when seeing a special human enter the field.; will keep their distance from the strange animal or human and will be ready to flee in an instant.;alert, anxious, sometimes curious (rustle of a lolly wrapper, for instance.;alert, anxious, vulnerable.;calm, accepting, curious;alert, potentially anxious;adequate supply of fresh water, adequate grazing or provision of food, shelter from sun, wind and rain, safe fencing, no equipment left on the horse which is causing pain or stress (headcollars, rugs);provision of adequate fresh water, provision of food of sufficient quantity and quality to keep horses at a body score between 2.5 and 3.5 ;body score between 2.5 and 3.5 no lameness no nasal discharge no wounds horses moving normally with normal head carriage  ;grazing/eating, drinking, if at pasture, moving continuously, head carriage appropriate to the circumstances (down for grazing, up for looking around);lying down, lame, low head carriage, not eating or drinking, laminitic stance, looking at flank/rolling/getting up and down continuously
Eng;Owner;United Kingdom;F;<21;high school ;;Exercise, turn out,other horses company, a regular routine and feeding plan. without enough exercise horses often become bored or destructive.;way spook if it is a sudden unfamiliar or loud noise. if it is not sudden and is familiar they may have no reaction at all.;Can become stressed and anxious ;Will generally be relaxed and behaving normaly unless there are other factors e.g. ill or stressed. ;Horses are often stressed anxious or just a little on edge;insecure and frightened;scared and alone;supported and happy;unsure and on edge;good but muddy with recent rain and lacking in grass though this has been fixed by hay nets being put in the field so the horses can still graze;good ;good if a little over weight;good herd conditions with a clear pecking order within the group;none
Eng;Farmer;United States;F;31-40;specialization course (master, PhD degree) ;Doctorate of Dental Surgery (Dentist);Balanced diet, veterinary care, hoof care, regular physical activity, mental stimulation, social interaction;... turns an ear toward the noise;... wants to return to the group.  But horses can be taught to  leave their herd with a human without becoming upset.;... depends on its relationship with the familiar animals/people.  If the relationship is positive, the horse is content and relaxed.  If the relationship is negative, the horse will be stressed.;... depends on the temperament of the horse and the environment.  Many horses would be curious.  Some horses would withdraw and perhaps even flee.  Some horses would be aggressive toward unfamiliar animals/people.;Curious, nervous;Worried, curious;Content (perhaps nervous depending on relationship);Curious, fearful or aggressive;Safety, sufficient space, cleanliness, footing;Cleanliness, quality of feed, storage method, organization;Overall demeanor, body condition and weight, coat condition, feet, presence/absence of illness or disease;Horse body language should appear relaxed, content;Stress and fear, repetitive movements (pacing, weaving...) abnormal social interactions with herdmates/humans 
Eng;Owner;Australia;F;51-60;high school ;;Good diet, good excercise, freedom to walk and roam and graze, work in your discipline;looks alert;feels uncomfortable;relaxes;becomes alert;feels the need to see what the noise is;feels vulnerable;feels confident;feels curious, on guard;Are they cool, dry, have water, have food;do they have the right combination of nutrition v roughage, not too much grazing on the wrong grasses etc;Is a neighbours horse lame, coat ok? Doesnt have colic or looks unhappy;Is the horse behaving?  If not try to establish what is wrong;As above
Eng;Owner;United Kingdom;F;51-60;specialization course (master, PhD degree) ;English Language and Literature;Water, correct food, shelter, friends, freedom from pain, space to roam freely, clear training signals, kindness and consistency from owner/trainer, correctly fitting tack, not to be overworked, to do a job that suits his temperament;might jump to the side, bolt, freeze;might panic, becoem stressed, have anxiety behaviours, push against doors, people to get back to herd, become depressed long term;is relaxed, feels safe, can express himself, shows co-operation;is wary, holds back, might be nervous, can be easily spooked, can behave out of character;might feel afraid;might feel anxious;might feel safe, comfortable, able to express himself;might feel wary or suspicious/fearful;size of stable, proximity to other horses, ability to smell or nuzzle other horses, view, sunshine, warmth/cold, wind direction, rubber matting on floor, proximity to muck heap, stable behaviour:relaxed, looking over door, weaving, cribbing, windsucking, banging the door, keen to get out or happy to stay in even with the doot open;What type of feed, condition of horse, fat or thin, is there 24/7 access to hay/haylage/grass and water?;Healthy, interested eyes, shiny coat, ribs covered but not fat, hard feet, good conformation,;co-operates, plays and joins in as member of a herd, knows his place in the herd, happy to be caught to do his job, but equally happy to get back to the field.  Can have a special friend/fieldmate who he is very attached to.  Ears back to show displeasure, runs away from scary things, curious about new things in stable or field, responds to consistent instructions,repects humans Rests a hind leg to show he is relaxed, sighs when doing Parelli groundwork, easy join-up with humans;listless, depressed, pushy, hanging back from herd, a loner, bites people, kicks doors, weaves, cribs, windsucks, ears back a lot,  ridden: bucking, rearing, napping
Eng;Veterinarian;New Zealand;F;31-40;specialization course (master, PhD degree) ;PhD Animal Behaviour and Neuroscience;It needs to have its behavioural, physical and health needs met - based on the 5 freedoms.;Will raise its head, prick its ears and turn its head towwards the noice. It may flee, depending on the noise and how close the noise is.  A horse may move toward the noise of another horse neighing.  ;Is likely to vocalise and seek to rejoin the herd. It may increase activity. ;If the horse has had positive experiences with the aniamls people / the person in the past, the horse may approach or may stand and be willing to be approached. ;May be less inclined to stand and be approached or approach itself. It may move away form the person / animal or flee.;May feel anxious.;May feel anxious, unless it is used to being housed alone.;May feel less anxious when other animals/ a familiar person is around than it does on its own. ;May feel anxious / stressed.;Signs of injury, disease, lameness, is horse rested, moving freely, body condition score;Body condition score, emaciation, is horse alert, eating / drinking / grazing;Free from injuries, disease, lameness, body condition score, eating / drinking / resting occasionally, moving freely;Alert when required - but not hypervigilant, relaxed, Performing behaviours that are usually in its behavioural repertoire (if its health is usually good);Performing behaviours that are not usually in its behavioural repertoire (if its health is usually good), listlessness, depression, anxiety etc
Eng;Owner;Australia;F;41-50;high school ;; A safe, sufficiently large grazing pasture 24/7, socialization, shelter, water. Additional food/care if kept in a country that they aren't native.;Lifts its head and picks its ears towards the noise.;Will mostly show separation anxiety. Unless used to being separate.;Nicker or come over to see what is going on.;will either show interest, come for a look or run,snort,keep its distance until sure about the thing.;curiosity mixed with concern.;Anxiety, fear.;curiosity, interest.;curiosity or caution.;Coat/ eg rain scald, legs hooves, mud fever, bad hooves if in wet muddy housing all the time.;Body score;Body score and coat shine/condition. Horses posture, movement (lameness );How it is grazing and moving about the paddock and interaction with horses.;How it is grazing and moving about the paddock and interaction with horses.
Eng;Owner;Australia;F;41-50;specialization course (master, PhD degree) ;PhD in veterinary science at USYD.;Large paddocks with plenty of natural pasture, fellow horses to live with, ample feed, water and shelter. Regular checking, drenching, farriery and any other treatments as necessary. Nice people to treat them well and love them.;Depending on the noise, if loud and sudden they may spook, if dull and continuous they may not respond.;Will most likely show separation anxiety characterised by increased vocalisation and locomotion.;May approach for a treat or a cuddle.;May approach slowly to investigate.;Depends on the noise, see above.;As above.;As above.;As above.;Size, feed, cleanliness, availability of pasture, water and shelter.;As above.;Body condition of the horses.;Can and do they exhibit normal behaviours.;Observe, approach the owners and ask about it.
